,curvature,subject
0,0.26312083,sub-001
1,-0.017427465,sub-001
2,-0.01543159,sub-001
3,0.06478934,sub-001
4,0.101709284,sub-001
5,0.17391978,sub-001
6,0.2506702,sub-001
7,-0.07434859,sub-001
8,-0.04033896,sub-001
9,0.019176193,sub-001
10,0.08211959,sub-001
11,0.009993092,sub-001
12,-0.03871521,sub-001
13,0.04075448,sub-001
14,-0.085081555,sub-001
15,0.15316759,sub-001
16,0.113613226,sub-001
0,0.10808755,sub-002
1,0.08329473,sub-002
2,0.071325764,sub-002
3,-0.028386151,sub-002
4,0.07958559,sub-002
5,0.092135094,sub-002
6,0.062970646,sub-002
7,0.021776045,sub-002
8,-0.008533114,sub-002
9,-0.072122335,sub-002
10,-0.01356333,sub-002
11,-0.10016923,sub-002
12,-0.022842748,sub-002
13,-0.10574378,sub-002
14,-0.1641122,sub-002
15,0.042375676,sub-002
16,-0.015840298,sub-002
17,-0.18514019,sub-002
18,-0.01609291,sub-002
19,-0.077039436,sub-002
20,-0.13426788,sub-002
21,-0.17130826,sub-002
22,-0.17646495,sub-002
23,-0.16703789,sub-002
24,-0.16888528,sub-002
25,-0.18943863,sub-002
26,-0.13992845,sub-002
0,-0.11832548,sub-003
1,-0.09328287,sub-003
2,-0.116021,sub-003
3,-0.10876061,sub-003
4,-0.08349675,sub-003
5,-0.053428542,sub-003
6,-0.08007232,sub-003
7,-0.058390364,sub-003
8,-0.12899314,sub-003
9,-0.12429033,sub-003
10,-0.097717814,sub-003
11,-0.11291132,sub-003
12,-0.09209956,sub-003
13,-0.101420365,sub-003
14,-0.062438503,sub-003
15,-0.0733343,sub-003
16,-0.09368207,sub-003
17,-0.09813282,sub-003
0,0.16882557,sub-005
1,0.13614646,sub-005
2,-0.0068595097,sub-005
3,0.0049424125,sub-005
4,-0.18773277,sub-005
5,-0.05369287,sub-005
6,-0.091811605,sub-005
7,-0.06201871,sub-005
8,-0.07898074,sub-005
9,-0.020606538,sub-005
10,-0.23383039,sub-005
11,-0.1799887,sub-005
12,-0.19399048,sub-005
13,-0.12837099,sub-005
14,-0.16028288,sub-005
15,-0.24777955,sub-005
16,0.02415964,sub-005
17,-0.040763568,sub-005
18,0.050674047,sub-005
19,0.087263584,sub-005
20,0.13890012,sub-005
21,-0.12148637,sub-005
22,-0.061912883,sub-005
23,-0.07572725,sub-005
24,-0.027054697,sub-005
25,-0.0033845338,sub-005
26,-0.017039519,sub-005
27,0.07864567,sub-005
28,0.06035621,sub-005
29,-0.0035127462,sub-005
30,-0.2801943,sub-005
31,-0.2989606,sub-005
32,-0.2451917,sub-005
33,-0.2778041,sub-005
34,-0.17627361,sub-005
35,-0.18394434,sub-005
36,-0.2384157,sub-005
37,-0.12747808,sub-005
38,-0.1796024,sub-005
39,-0.07925305,sub-005
40,-0.0886155,sub-005
41,-0.026636908,sub-005
42,-0.07251528,sub-005
43,-0.1757899,sub-005
0,0.14128329,sub-007
1,0.14427236,sub-007
2,0.20174913,sub-007
3,0.08877659,sub-007
4,0.055499725,sub-007
5,0.07522084,sub-007
6,-0.06693815,sub-007
7,-0.019921372,sub-007
8,-0.019560933,sub-007
9,0.032266807,sub-007
10,0.020703781,sub-007
11,0.020264523,sub-007
12,-0.17005101,sub-007
13,-0.14410454,sub-007
14,-0.12921119,sub-007
15,-0.08374512,sub-007
16,-0.21769391,sub-007
17,-0.23369066,sub-007
18,-0.20970945,sub-007
19,-0.20326981,sub-007
20,-0.1955352,sub-007
21,-0.19150604,sub-007
22,-0.13342634,sub-007
23,-0.06938468,sub-007
24,-0.03030919,sub-007
25,-0.25947472,sub-007
26,-0.2668576,sub-007
27,-0.24447076,sub-007
28,-0.23999193,sub-007
29,-0.26128155,sub-007
30,-0.23875736,sub-007
31,-0.20824091,sub-007
32,-0.1664396,sub-007
33,-0.09439049,sub-007
34,-0.058192912,sub-007
35,0.0049192016,sub-007
0,-0.027273264,sub-008
1,0.003641596,sub-008
2,0.025717378,sub-008
3,0.034163885,sub-008
4,0.046611596,sub-008
5,0.0639595,sub-008
6,0.07510261,sub-008
7,0.07825178,sub-008
8,-0.0461315,sub-008
9,-0.015969655,sub-008
10,-0.0017751994,sub-008
11,-0.04454093,sub-008
12,-0.011220981,sub-008
13,0.008212271,sub-008
14,-0.040462546,sub-008
15,-0.08328422,sub-008
16,-0.046409667,sub-008
17,-0.12789366,sub-008
18,-0.08593118,sub-008
19,-0.06431119,sub-008
