,subject,distance,distance_type,model,model_type,smooth,dva
0,sub-001,5.350558755346519,geodesic,0,gauss,0,0.035297133803885536
1,sub-001,4.597866924980014,euclidian,0,gauss,0,0.035297133803885536
2,sub-001,2.857506988223413,geodesic,0,gauss,1,0.7186050017207475
3,sub-001,2.9278734683186527,euclidian,0,gauss,1,0.7186050017207475
4,sub-001,3.323169847101255,geodesic,0,gauss,2,0.9289804348895094
5,sub-001,3.5059010766503556,euclidian,0,gauss,2,0.9289804348895094
6,sub-001,2.4791893743102236,geodesic,0,gauss,3,1.058165007270611
7,sub-001,2.6457788023993145,euclidian,0,gauss,3,1.058165007270611
8,sub-001,4.90259265946883,geodesic,1,norm,0,0.08644267955728743
9,sub-001,4.681660464180277,euclidian,1,norm,0,0.08644267955728743
10,sub-001,3.323169847101255,geodesic,1,norm,1,0.7293256534815927
11,sub-001,3.5059010766503556,euclidian,1,norm,1,0.7293256534815927
12,sub-001,3.323169847101255,geodesic,1,norm,2,0.9169838287664923
13,sub-001,3.5059010766503556,euclidian,1,norm,2,0.9169838287664923
14,sub-001,3.323169847101255,geodesic,1,norm,3,1.055131450538793
15,sub-001,3.5059010766503556,euclidian,1,norm,3,1.055131450538793
16,sub-002,1.9008289570009822,geodesic,0,gauss,0,0.12139734024379793
17,sub-002,1.9760797331845048,euclidian,0,gauss,0,0.12139734024379793
18,sub-002,1.898681201535645,geodesic,0,gauss,1,0.4035767262408009
19,sub-002,1.994828145764395,euclidian,0,gauss,1,0.4035767262408009
20,sub-002,1.898681201535645,geodesic,0,gauss,2,0.5140457500975788
21,sub-002,1.994828145764395,euclidian,0,gauss,2,0.5140457500975788
22,sub-002,1.898681201535645,geodesic,0,gauss,3,0.6027662816163017
23,sub-002,1.994828145764395,euclidian,0,gauss,3,0.6027662816163017
24,sub-002,4.186216109589054,geodesic,1,norm,0,0.08709814811513127
25,sub-002,4.448109567716479,euclidian,1,norm,0,0.08709814811513127
26,sub-002,1.049811934384568,geodesic,1,norm,1,0.4035349017680944
27,sub-002,1.1129653628333716,euclidian,1,norm,1,0.4035349017680944
28,sub-002,1.017633722440813,geodesic,1,norm,2,0.5058082250113368
29,sub-002,1.18318353653885,euclidian,1,norm,2,0.5058082250113368
30,sub-002,1.017633722440813,geodesic,1,norm,3,0.5856078022335094
31,sub-002,1.18318353653885,euclidian,1,norm,3,0.5856078022335094
32,sub-003,9.063385448512449,geodesic,0,gauss,0,0.04033663517640857
33,sub-003,8.181613189237675,euclidian,0,gauss,0,0.04033663517640857
34,sub-003,9.063385448512449,geodesic,0,gauss,1,0.197738870596788
35,sub-003,8.181613189237675,euclidian,0,gauss,1,0.197738870596788
36,sub-003,9.063385448512449,geodesic,0,gauss,2,0.2848445228741434
37,sub-003,8.181613189237675,euclidian,0,gauss,2,0.2848445228741434
38,sub-003,9.063385448512449,geodesic,0,gauss,3,0.3559043165876832
39,sub-003,8.181613189237675,euclidian,0,gauss,3,0.3559043165876832
40,sub-003,9.063385448512449,geodesic,1,norm,0,0.04151510676011094
41,sub-003,8.181613189237675,euclidian,1,norm,0,0.04151510676011094
42,sub-003,9.063385448512449,geodesic,1,norm,1,0.19363817292649824
43,sub-003,8.181613189237675,euclidian,1,norm,1,0.19363817292649824
44,sub-003,9.063385448512449,geodesic,1,norm,2,0.2743091453595209
45,sub-003,8.181613189237675,euclidian,1,norm,2,0.2743091453595209
46,sub-003,9.96143410702772,geodesic,1,norm,3,0.3391108942681021
47,sub-003,8.692729040173715,euclidian,1,norm,3,0.3391108942681021
48,sub-005,4.375577870518535,geodesic,0,gauss,0,0.03172844854531237
49,sub-005,4.297080278994682,euclidian,0,gauss,0,0.03172844854531237
50,sub-005,9.184164299343943,geodesic,0,gauss,1,0.17418248015866739
51,sub-005,5.870098469549494,euclidian,0,gauss,1,0.17418248015866739
52,sub-005,9.81166947363759,geodesic,0,gauss,2,0.21318411956627287
53,sub-005,5.753901252897091,euclidian,0,gauss,2,0.21318411956627287
54,sub-005,11.347351747950217,geodesic,0,gauss,3,0.2425424302595162
55,sub-005,5.412472358381454,euclidian,0,gauss,3,0.2425424302595162
56,sub-005,7.271747756352994,geodesic,1,norm,0,0.020936479841447284
57,sub-005,5.535060057238293,euclidian,1,norm,0,0.020936479841447284
58,sub-005,9.184164299343943,geodesic,1,norm,1,0.17796293195120294
59,sub-005,5.870098469549494,euclidian,1,norm,1,0.17796293195120294
60,sub-005,9.81166947363759,geodesic,1,norm,2,0.2137876074244624
61,sub-005,5.753901252897091,euclidian,1,norm,2,0.2137876074244624
62,sub-005,13.209368770493963,geodesic,1,norm,3,0.24273740838312752
63,sub-005,6.256747571375166,euclidian,1,norm,3,0.24273740838312752
64,sub-007,8.761484424554418,geodesic,0,gauss,0,0.2234209251856702
65,sub-007,6.0082243932684465,euclidian,0,gauss,0,0.2234209251856702
66,sub-007,8.761484424554418,geodesic,0,gauss,1,0.5893753687435548
67,sub-007,6.0082243932684465,euclidian,0,gauss,1,0.5893753687435548
68,sub-007,9.065890232226984,geodesic,0,gauss,2,0.6812752843009379
69,sub-007,6.288448943247964,euclidian,0,gauss,2,0.6812752843009379
70,sub-007,9.065890232226984,geodesic,0,gauss,3,0.7343026963652165
71,sub-007,6.288448943247964,euclidian,0,gauss,3,0.7343026963652165
72,sub-007,8.340768127664177,geodesic,1,norm,0,0.17300010808265223
73,sub-007,6.34573372617632,euclidian,1,norm,0,0.17300010808265223
74,sub-007,8.761484424554418,geodesic,1,norm,1,0.5628524044292413
75,sub-007,6.0082243932684465,euclidian,1,norm,1,0.5628524044292413
76,sub-007,8.761484424554418,geodesic,1,norm,2,0.6624855274799668
77,sub-007,6.0082243932684465,euclidian,1,norm,2,0.6624855274799668
78,sub-007,8.761484424554418,geodesic,1,norm,3,0.725201451531477
79,sub-007,6.0082243932684465,euclidian,1,norm,3,0.725201451531477
80,sub-008,5.7901991568431015,geodesic,0,gauss,0,0.08638332331391398
81,sub-008,5.698620365758065,euclidian,0,gauss,0,0.08638332331391398
82,sub-008,4.3234394546455945,geodesic,0,gauss,1,0.3761568421959024
83,sub-008,4.13891098199202,euclidian,0,gauss,1,0.3761568421959024
84,sub-008,4.460479333998556,geodesic,0,gauss,2,0.46404577757560134
85,sub-008,4.051319852265243,euclidian,0,gauss,2,0.46404577757560134
86,sub-008,4.460479333998556,geodesic,0,gauss,3,0.5161855671766896
87,sub-008,4.051319852265243,euclidian,0,gauss,3,0.5161855671766896
88,sub-008,4.3234394546455945,geodesic,1,norm,0,0.07383957487111957
89,sub-008,4.13891098199202,euclidian,1,norm,0,0.07383957487111957
90,sub-008,4.3234394546455945,geodesic,1,norm,1,0.3657478856383381
91,sub-008,4.13891098199202,euclidian,1,norm,1,0.3657478856383381
92,sub-008,4.3234394546455945,geodesic,1,norm,2,0.45515475261112115
