subject,t,depth,hrf
sub-001,0.0,0,-8.082167299490813e-17
sub-001,0.105,0,-4.6183813139947506e-17
sub-001,0.21,0,5.772976642493438e-17
sub-001,0.315,0,-1.1545953284986876e-17
sub-001,0.42,0,2.3091906569973753e-17
sub-001,0.525,0,-1.0391357956488188e-16
sub-001,0.63,0,-5.772976642493438e-17
sub-001,0.735,0,-4.6183813139947506e-17
sub-001,0.84,0,2.886488321246719e-17
sub-001,0.945,0,-1.1545953284986875e-16
sub-001,1.05,0,1.3277846277734906e-16
sub-001,1.155,0,-5.772976642493438e-17
sub-001,1.26,0,-8.082167299490813e-17
sub-001,1.365,0,0.0
sub-001,1.47,0,-6.927571970992126e-17
sub-001,1.575,0,2.3091906569973753e-17
sub-001,1.68,0,-9.236762627989501e-17
sub-001,1.785,0,3.463785985496063e-17
sub-001,1.89,0,-5.772976642493438e-17
sub-001,1.9949999999999999,0,9.236762627989501e-17
sub-001,2.1,0,8.082167299490813e-17
sub-001,2.205,0,1.2700548613485563e-16
sub-001,2.31,0,1.1545953284986875e-16
sub-001,2.415,0,1.3855143941984252e-16
sub-001,2.52,0,6.927571970992126e-16
sub-001,2.625,0,1.9166282453078215e-15
sub-001,2.73,0,5.403506137373858e-15
sub-001,2.835,0,1.4755728298213228e-14
sub-001,2.94,0,3.7893818681326924e-14
sub-001,3.045,0,9.019698706231748e-14
sub-001,3.15,0,2.0675338547426e-13
sub-001,3.255,0,4.76836324716673e-13
sub-001,3.36,0,1.118156299931269e-12
sub-001,3.465,0,2.5765025674513917e-12
sub-001,3.57,0,6.635632542181233e-12
sub-001,3.675,0,1.9529656694863323e-11
sub-001,3.78,0,5.880033030542493e-11
sub-001,3.885,0,1.6746134030416786e-10
sub-001,3.9899999999999998,0,4.44627952805986e-10
sub-001,4.095,0,1.1052738217318719e-09
sub-001,4.2,0,2.524631206177306e-09
sub-001,4.305,0,5.337437698751253e-09
sub-001,4.41,0,1.0679378226916024e-08
sub-001,4.515,0,2.06780849833339e-08
sub-001,4.62,0,3.9431566538863626e-08
sub-001,4.725,0,7.477506975228195e-08
sub-001,4.83,0,1.4147104324391167e-07
sub-001,4.935,0,2.634396292185949e-07
sub-001,5.04,0,4.776959351402628e-07
sub-001,5.145,0,8.434764454033815e-07
sub-001,5.25,0,1.4578025430864673e-06
sub-001,5.3549999999999995,0,2.4826529228363456e-06
sub-001,5.46,0,4.163088106041182e-06
sub-001,5.5649999999999995,0,6.854609440291637e-06
sub-001,5.67,0,1.1090312568894149e-05
sub-001,5.7749999999999995,0,1.7799834370765625e-05
sub-001,5.88,0,2.880659273146124e-05
sub-001,5.984999999999999,0,4.740113363019264e-05
sub-001,6.09,0,7.905133763519202e-05
sub-001,6.194999999999999,0,0.0001317980252336092
sub-001,6.3,0,0.00021661930667217326
sub-001,6.404999999999999,0,0.00034821028252143767
sub-001,6.51,0,0.0005459176265348166
sub-001,6.614999999999999,0,0.0008351328215309894
sub-001,6.72,0,0.0012486971361808882
sub-001,6.825,0,0.0018287055158143068
sub-001,6.93,0,0.002627120890266895
sub-001,7.035,0,0.0037056938646864495
sub-001,7.14,0,0.005136336559781188
sub-001,7.245,0,0.007001360796570065
sub-001,7.35,0,0.009394061453830318
sub-001,7.455,0,0.012417977748124982
sub-001,7.56,0,0.01618537990543996
sub-001,7.665,0,0.02081627968734751
sub-001,7.77,0,0.02643813258933975
sub-001,7.875,0,0.03318727154330807
sub-001,7.9799999999999995,0,0.04120849677173586
sub-001,8.084999999999999,0,0.0506520350214978
sub-001,8.19,0,0.061669281703110805
sub-001,8.295,0,0.07440756458278996
sub-001,8.4,0,0.08900383782993876
sub-001,8.504999999999999,0,0.1055782719272994
sub-001,8.61,0,0.12422763389328001
sub-001,8.715,0,0.14502058201165507
sub-001,8.82,0,0.16799428591156554
sub-001,8.924999999999999,0,0.19315097055380895
sub-001,9.03,0,0.22045555412553694
sub-001,9.135,0,0.24983387033200752
sub-001,9.24,0,0.28117179104309065
sub-001,9.344999999999999,0,0.31431419835986824
sub-001,9.45,0,0.34906657002023267
sub-001,9.555,0,0.38519908333241726
sub-001,9.66,0,0.4224518148249326
sub-001,9.764999999999999,0,0.4605408925779836
sub-001,9.87,0,0.4991650322952196
sub-001,9.975,0,0.5380122981748944
sub-001,10.08,0,0.5767667033120149
sub-001,10.185,0,0.6151145620983514
sub-001,10.29,0,0.6527503483840614
sub-001,10.395,0,0.6893817962440615
sub-001,10.5,0,0.7247342460116101
sub-001,10.605,0,0.758554199225731
sub-001,10.709999999999999,0,0.7906121187303268
sub-001,10.815,0,0.8207044900478411
sub-001,10.92,0,0.8486551627506792
sub-001,11.025,0,0.874316044460975
sub-001,11.129999999999999,0,0.8975672153852402
sub-001,11.235,0,0.9183165392887173
sub-001,11.34,0,0.9364988439372073
sub-001,11.445,0,0.9520747447992624
sub-001,11.549999999999999,0,0.9650291811827019
sub-001,11.655,0,0.9753697290476488
sub-001,11.76,0,0.9831247513714323
sub-001,11.865,0,0.9883414405025873
sub-001,11.969999999999999,0,0.9910838004845751
sub-001,12.075,0,0.9914306111423927
sub-001,12.18,0,0.989473409674783
sub-001,12.285,0,0.9853145196892787
sub-001,12.389999999999999,0,0.9790651521743435
sub-001,12.495,0,0.9708435978968808
sub-001,12.6,0,0.9607735261698158
sub-001,12.705,0,0.9489824008768597
sub-001,12.809999999999999,0,0.9356000210679043
sub-001,12.915,0,0.9207571903348346
sub-001,13.02,0,0.9045845165210041
sub-001,13.125,0,0.887211341078419
sub-001,13.229999999999999,0,0.8687647955320623
sub-001,13.334999999999999,0,0.8493689810056146
sub-001,13.44,0,0.8291442655716211
sub-001,13.545,0,0.8082066932766565
sub-001,13.65,0,0.7866674980244494
sub-001,13.754999999999999,0,0.7646327150450747
sub-001,13.86,0,0.7422028824061742
sub-001,13.965,0,0.719472824905139
sub-001,14.07,0,0.6965315126939318
sub-001,14.174999999999999,0,0.6734619871080633
sub-001,14.28,0,0.6503413463777595
sub-001,14.385,0,0.627240784174509
sub-001,14.49,0,0.6042256742741785
sub-001,14.594999999999999,0,0.5813556949848595
sub-001,14.7,0,0.5586849873817564
sub-001,14.805,0,0.5362623418025627
sub-001,14.91,0,0.5141314074763079
sub-001,15.014999999999999,0,0.4923309205794753
sub-001,15.12,0,0.470894946429377
sub-001,15.225,0,0.4498531319315686
sub-001,15.33,0,0.4292309647916519
sub-001,15.434999999999999,0,0.409050036379299
sub-001,15.54,0,0.38932830549142994
sub-001,15.645,0,0.3700803606007175
sub-001,15.75,0,0.35131767849387746
sub-001,15.854999999999999,0,0.3330488775010151
sub-001,15.959999999999999,0,0.3152799637924009
sub-001,16.064999999999998,0,0.2980145694725825
sub-001,16.169999999999998,0,0.2812541814340693
sub-001,16.275,0,0.26499836014452055
sub-001,16.38,0,0.2492449477331461
sub-001,16.485,0,0.23399026491476863
sub-001,16.59,0,0.21922929644458483
sub-001,16.695,0,0.20495586493414217
sub-001,16.8,0,0.19116279298040306
sub-001,16.905,0,0.1778420536660877
sub-001,17.009999999999998,0,0.1649849095817675
sub-001,17.115,0,0.15258204059951783
sub-001,17.22,0,0.1406236606952773
sub-001,17.325,0,0.129099624173461
sub-001,17.43,0,0.11799952169369655
sub-001,17.535,0,0.10731276653679472
sub-001,17.64,0,0.09702867157600815
sub-001,17.745,0,0.0871365174411548
sub-001,17.849999999999998,0,0.07762561237802251
sub-001,17.955,0,0.06848534431435362
sub-001,18.06,0,0.05970522564733081
sub-001,18.165,0,0.05127493126645259
sub-001,18.27,0,0.04318433032060202
sub-001,18.375,0,0.03542351222950121
sub-001,18.48,0,0.027982807428129575
sub-001,18.585,0,0.02085280331848836
sub-001,18.689999999999998,0,0.01402435588679302
sub-001,18.794999999999998,0,0.007488597426078516
sub-001,18.9,0,0.0012369407847354122
sub-001,19.005,0,-0.004738919459075097
sub-001,19.11,0,-0.010447008518550838
sub-001,19.215,0,-0.01589507525825828
sub-001,19.32,0,-0.021090598058588643
sub-001,19.425,0,-0.02604079237255815
sub-001,19.529999999999998,0,-0.03075261968511375
sub-001,19.634999999999998,0,-0.03523279760714327
sub-001,19.74,0,-0.039487810858032345
sub-001,19.845,0,-0.043523922911790504
sub-001,19.95,0,-0.04734718810231565
sub-001,20.055,0,-0.05096346400326707
sub-001,20.16,0,-0.054378423917128674
sub-001,20.265,0,-0.057597569326361196
sub-001,20.37,0,-0.060626242176975056
sub-001,20.474999999999998,0,-0.06346963688141184
sub-001,20.58,0,-0.06613281194324255
sub-001,20.685,0,-0.06862070112086781
sub-001,20.79,0,-0.07093812406112872
sub-001,20.895,0,-0.07308979634655356
sub-001,21.0,0,-0.0750803389117624
sub-001,21.105,0,-0.0769142867955116
sub-001,21.21,0,-0.07859609720481814
sub-001,21.314999999999998,0,-0.08013015687675845
sub-001,21.419999999999998,0,-0.08152078873174526
sub-001,21.525,0,-0.08277225781953734
sub-001,21.63,0,-0.08388877656581234
sub-001,21.735,0,-0.08487450933302301
sub-001,21.84,0,-0.08573357631432657
sub-001,21.945,0,-0.08647005678383676
sub-001,22.05,0,-0.0870879917301949
sub-001,22.154999999999998,0,-0.0875913859036144
sub-001,22.259999999999998,0,-0.08798420930914032
sub-001,22.365,0,-0.08827039818089594
sub-001,22.47,0,-0.08845385547363795
sub-001,22.575,0,-0.08853845090904976
sub-001,22.68,0,-0.08852802061484483
sub-001,22.785,0,-0.08842636639507141
sub-001,22.89,0,-0.08823725466993106
sub-001,22.994999999999997,0,-0.08796441512308813
sub-001,23.099999999999998,0,-0.08761153909377675
sub-001,23.205,0,-0.0871822777501534
sub-001,23.31,0,-0.08668024007923508
sub-001,23.415,0,-0.08610899072748608
sub-001,23.52,0,-0.08547204772468779
sub-001,23.625,0,-0.08477288012214669
sub-001,23.73,0,-0.08401490557464646
sub-001,23.835,0,-0.08320148789377804
sub-001,23.939999999999998,0,-0.08233593459848396
